,vintage.wine.winery.seo_name,vintage.wine.winery.name,vintage.wine.name,vintage.year,vintage.statistics.ratings_average,vintage.wine.region.name,vintage.wine.region.seo_name,vintage.wine.style.region.seo_name
24,domaine-chandon-de-briailles,Chandon de Briailles,Les Lavières Savigny-lès-Beaune 1er Cru,2014,3.8,Savigny-lès-Beaune 1er Cru 'Les Lavières',savigny-les-beaune-les-lavieres,cote-de-beaune
0,a-et-p-de-villaine,Domaine A. et P. de Villaine,"Bourgogne Côte Chalonnaise ""Les Clous Aime""",2017,3.9,Côte Chalonnaise,cote-chalonnaise,cote-chalonnaise
1,trimbach-alsace,Trimbach,Gewurztraminer Alsace Vendanges Tardives,2015,3.9,Alsace,alsace,alsace
2,trimbach-alsace,Trimbach,Pinot Gris Alsace Selection de Grains Nobles,2005,4.7,Alsace,alsace,alsace
3,trimbach-alsace,Trimbach,Pinot Gris Alsace Réserve Personnelle,2013,4.1,Alsace,alsace,alsace
4,louis-jadot,Louis Jadot,Beaune Premier Cru,2015,4.1,Beaune Premier Cru,beaune-premier-cru,cote-de-beaune
5,louis-jadot,Louis Jadot,Beaune Premier Cru,2016,4.2,Beaune Premier Cru,beaune-premier-cru,cote-de-beaune
6,la-chablisienne,La Chablisienne,Chablis 1er Cru 'Les Lys',2015,3.8,Chablis 1er Cru 'Les Lys',chablis-les-lys,bourgogne
7,trimbach-alsace,Trimbach,Gewürztraminer Alsace Cuvée des Seigneurs de Ribeaupierre,2011,4.1,Alsace,alsace,alsace
8,domaine-laroche,Domaine Laroche,Chablis Premier Cru 'Les Beauroys',2015,4.2,Chablis Premier Cru,chablis-premier-cru,bourgogne
9,domaine-ponsot,Domaine Ponsot,Chapelle-Chambertin Grand Cru,2007,4.4,Chapelle-Chambertin Grand Cru,chapelle-chambertin,cote-de-nuits
10,david-duband,David Duband,Côte de Nuits-Villages,2017,3.9,Côte de Nuits Villages,cote-de-nuits-villages,cote-de-nuits
11,david-duband,David Duband,Gevrey-Chambertin,2014,3.8,Gevrey-Chambertin,gevrey-chambertin,cote-de-nuits
12,david-duband,David Duband,Morey-Saint-Denis Premier Cru 'Clos Sorbè',2013,4.0,Morey-Saint-Denis 1er Cru 'Clos Sorbe',morey-saint-denis-clos-sorbe,cote-de-nuits
13,david-duband,David Duband,Nuits-Saint-Georges,2012,3.9,Nuits-Saint-Georges,nuits-saint-georges,cote-de-nuits
