,vintage.wine.winery.seo_name,vintage.wine.winery.name,vintage.wine.name,vintage.year,vintage.statistics.ratings_average,vintage.wine.region.name,vintage.wine.region.seo_name,vintage.wine.style.region.seo_name
18,chateau-d-yquem,Château d'Yquem,Sauternes,2000,4.7,Sauternes,sauternes,bordeaux
19,louis-roederer,Louis Roederer,Blanc de Blancs Brut Champagne (Vintage),2011,4.2,Champagne,champagne,champagne
20,chateau-bellegrave,Château Bellegrave,Pauillac,2014,3.5,Pauillac,pauillac,bordeaux
21,la-tour-blanche,Château La Tour Blanche,Sauternes (Premier Grand Cru Classé),2009,4.2,Sauternes,sauternes,bordeaux
22,charles-heidsieck,Charles Heidsieck,Brut Millésime Rosé Champagne,2005,4.3,Champagne,champagne,champagne
23,champagne-jacquesson,Jacquesson,Dizy-Corne Bautray Extra Brut Champagne,2007,4.3,Champagne,champagne,champagne
24,moet-chandon,Moët & Chandon,Grand Vintage Brut Champagne,2012,4.2,Champagne,champagne,champagne
0,langoa-and-leoville-barton,Château Langoa Barton,Saint-Julien (Grand Cru Classé),2005,4.2,Saint-Julien,saint-julien,bordeaux
1,chateau-leoville-las-cases,Château Léoville Las Cases,Saint-Julien (Grand Cru Classé),2011,4.2,Saint-Julien,saint-julien,bordeaux
2,chateau-leoville-las-cases,Château Léoville Las Cases,Saint-Julien (Grand Cru Classé),2003,4.4,Saint-Julien,saint-julien,bordeaux
3,chateau-latour-a-pomerol,Château Latour à Pomerol,Pomerol,2015,4.1,Pomerol,pomerol,bordeaux
4,chateau-latour-a-pomerol,Château Latour à Pomerol,Pomerol,2008,4.2,Pomerol,pomerol,bordeaux
5,louis-latour,Louis Latour,Meursault-Blagny Premier Cru Château de Blagny,2017,4.1,Meursault 1er Cru 'Blagny',meursault-1er-cru-blagny,cote-de-beaune
6,chateau-leoville-barton,Château Léoville Barton,Saint-Julien (Grand Cru Classé),1999,4.3,Saint-Julien,saint-julien,bordeaux
7,chateau-leoville-barton,Château Léoville Barton,Saint-Julien (Grand Cru Classé),1998,4.2,Saint-Julien,saint-julien,bordeaux
8,delas-freres,Delas,Saint-Esprit Côtes-du-Rhône,2018,3.9,Côtes-du-Rhône,cotes-du-rhone,rhone
9,langoa-and-leoville-barton,Château Langoa Barton,Saint-Julien (Grand Cru Classé),2006,4.0,Saint-Julien,saint-julien,bordeaux
10,larcis-ducasse,Château Larcis Ducasse,Saint-Émilion Grand Cru (Premier Grand Cru Classé),2012,4.3,Saint-Émilion Grand Cru,st-emilion-grand-cru,bordeaux
11,larcis-ducasse,Château Larcis Ducasse,Saint-Émilion Grand Cru (Premier Grand Cru Classé),2009,4.2,Saint-Émilion Grand Cru,st-emilion-grand-cru,bordeaux
12,chateau-d-yquem,Château d'Yquem,Sauternes,2004,4.7,Sauternes,sauternes,bordeaux
13,chateau-gruaud-larose,Château Gruaud Larose,Saint-Julien (Grand Cru Classé),1989,4.4,Saint-Julien,saint-julien,bordeaux
14,fr-chateau-haut-bages-liberal,Château Haut-Bages Libéral,Pauillac (Grand Cru Classé),2013,3.7,Pauillac,pauillac,bordeaux
15,chateau-giscours,Château Giscours,Margaux (Grand Cru Classé),1989,4.4,Margaux,margaux,bordeaux
16,chateau-du-glana,Château du Glana,Saint-Julien,2015,3.9,Saint-Julien,saint-julien,bordeaux
17,chateau-gloria,Château Gloria,Saint-Julien,2014,3.9,Saint-Julien,saint-julien,bordeaux
18,chateau-cantemerle,Château Cantemerle,Les Allées de Cantemerle Haut-Médoc,2015,3.8,Haut-Médoc,haut-medoc,bordeaux
19,chateau-larmande,Château Larmande,Saint-Émilion Grand Cru (Grand Cru Classé),2015,4.0,Saint-Émilion Grand Cru,st-emilion-grand-cru,bordeaux
20,lascombes,Château Lascombes,Margaux (Grand Cru Classé),2012,4.1,Margaux,margaux,bordeaux
21,chateau-tronquoy-lalande,Château Tronquoy-Lalande,Saint-Estèphe,2009,3.9,Saint-Estèphe,saint-estephe,bordeaux
22,chateau-palmer,Château Palmer,Margaux (Grand Cru Classé),2012,4.5,Margaux,margaux,bordeaux
23,chateau-palmer,Château Palmer,Margaux (Grand Cru Classé),2008,4.5,Margaux,margaux,bordeaux
24,chateau-palmer,Château Palmer,Margaux (Grand Cru Classé),2006,4.5,Margaux,margaux,bordeaux
0,chateau-d-yquem,Château d'Yquem,Sauternes,2000,4.7,Sauternes,sauternes,bordeaux
1,louis-roederer,Louis Roederer,Blanc de Blancs Brut Champagne (Vintage),2011,4.2,Champagne,champagne,champagne
2,chateau-bellegrave,Château Bellegrave,Pauillac,2014,3.5,Pauillac,pauillac,bordeaux
3,la-tour-blanche,Château La Tour Blanche,Sauternes (Premier Grand Cru Classé),2009,4.2,Sauternes,sauternes,bordeaux
4,charles-heidsieck,Charles Heidsieck,Brut Millésime Rosé Champagne,2005,4.3,Champagne,champagne,champagne
5,champagne-jacquesson,Jacquesson,Dizy-Corne Bautray Extra Brut Champagne,2007,4.3,Champagne,champagne,champagne
6,moet-chandon,Moët & Chandon,Grand Vintage Brut Champagne,2012,4.2,Champagne,champagne,champagne
7,chateau-potensac,Château Potensac,Médoc,2015,3.8,Médoc,medoc,bordeaux
8,chateau-poujeaux,Château Poujeaux,Moulis-en-Médoc,2014,3.8,Moulis-en-Médoc,moulis-en-medoc,bordeaux
9,chateau-poujeaux,Château Poujeaux,Moulis-en-Médoc,2012,3.9,Moulis-en-Médoc,moulis-en-medoc,bordeaux
10,chateau-poujeaux,Château Poujeaux,Moulis-en-Médoc,2009,4.1,Moulis-en-Médoc,moulis-en-medoc,bordeaux
11,chateau-la-providence,Château La Providence,Pomerol,2011,4.2,Pomerol,pomerol,bordeaux
12,chateau-la-providence,Château La Providence,Pomerol,2010,4.5,Pomerol,pomerol,bordeaux
13,chateau-la-providence,Château La Providence,Pomerol,2009,4.5,Pomerol,pomerol,bordeaux
14,deutz,Deutz,Rosé Brut Champagne,N.V.,4.1,Champagne,champagne,champagne
15,chateau-tronquoy-lalande,Château Tronquoy-Lalande,Saint-Estèphe,2009,3.9,Saint-Estèphe,saint-estephe,bordeaux
16,reignac,Château de Reignac,Bordeaux Supérieur,2016,4.0,Bordeaux Supérieur,bordeaux-superieur,bordeaux
17,chateau-pontet-canet,Château Pontet-Canet,Pauillac (Grand Cru Classé),2006,4.3,Pauillac,pauillac,bordeaux
18,chateau-pontet-canet,Château Pontet-Canet,Pauillac (Grand Cru Classé),2003,4.3,Pauillac,pauillac,bordeaux
19,chateau-pontet-canet,Château Pontet-Canet,Pauillac (Grand Cru Classé),2007,4.2,Pauillac,pauillac,bordeaux
20,chateau-mazeyres,Château Mazeyres,Le Seuil de Mazeyres Pomerol,2014,3.8,Pomerol,pomerol,bordeaux
21,chateau-siran,Château Siran,Margaux,1995,3.8,Margaux,margaux,bordeaux
22,charvin,Domaine Charvin,Châteauneuf-du-Pape,2015,4.2,Châteauneuf-du-Pape,chateauneuf-du-pape,chateauneuf-du-pape
23,chateau-gruaud-larose,Château Gruaud Larose,Sarget de Gruaud-Larose Saint-Julien,2012,3.9,Saint-Julien,saint-julien,bordeaux
24,pavie,Château Pavie,Saint-Émilion Grand Cru (Premier Grand Cru Classé),1997,4.3,Saint-Émilion Grand Cru,st-emilion-grand-cru,bordeaux
0,lascombes,Château Lascombes,Margaux (Grand Cru Classé),2012,4.1,Margaux,margaux,bordeaux
1,chateau-tronquoy-lalande,Château Tronquoy-Lalande,Saint-Estèphe,2009,3.9,Saint-Estèphe,saint-estephe,bordeaux
2,chateau-palmer,Château Palmer,Margaux (Grand Cru Classé),2012,4.5,Margaux,margaux,bordeaux
3,chateau-palmer,Château Palmer,Margaux (Grand Cru Classé),2008,4.5,Margaux,margaux,bordeaux
4,chateau-palmer,Château Palmer,Margaux (Grand Cru Classé),2006,4.5,Margaux,margaux,bordeaux
5,chateau-palmer,Château Palmer,Margaux (Grand Cru Classé),2003,4.6,Margaux,margaux,bordeaux
6,chateau-palmer,Château Palmer,Margaux (Grand Cru Classé),1998,4.5,Margaux,margaux,bordeaux
7,chateau-palmer,Château Palmer,Margaux (Grand Cru Classé),2002,4.4,Margaux,margaux,bordeaux
8,chateau-calon-segur,Château Calon-Ségur,Marquis de Calon Saint-Estèphe,2015,3.9,Saint-Estèphe,saint-estephe,bordeaux
9,chateau-calon-segur,Château Calon-Ségur,Marquis de Calon Saint-Estèphe,2014,3.8,Saint-Estèphe,saint-estephe,bordeaux
10,mauvesin-barton,Château Mauvesin Barton,Moulis-en-Médoc,2011,3.7,Médoc,medoc,bordeaux
11,chateau-maucaillou,Château Maucaillou,No. 2 de Maucaillou Moulis,2015,3.9,Moulis-en-Médoc,moulis-en-medoc,bordeaux
12,cos-d-estournel,Cos d'Estournel,Pagodes de Cos,2012,4.1,Saint-Estèphe,saint-estephe,bordeaux
13,cos-d-estournel,Cos d'Estournel,Le Médoc de Cos,2012,3.7,Médoc,medoc,bordeaux
14,fr-chateau-pape-clement,Château Pape Clément,Pessac-Léognan (Grand Cru Classé de Graves),2016,4.3,Pessac-Léognan,pessac-leognan,bordeaux
15,fr-chateau-pape-clement,Château Pape Clément,Pessac-Léognan (Grand Cru Classé de Graves),1993,4.1,Pessac-Léognan,pessac-leognan,bordeaux
